Name,Url,Category
ad4mat DE,http://de.ad4mat.info,Retail & Shopping
Telekom Affiliate DE,http://www.telekom.de,"Telco's & Services"
Postbank DE,http://www.postbank.de,Finance & Insurance
PARSHIP.de,http://www.parship.de,"Telco's & Services"
billigflug DE,http://www.billigflug.de,Travel
Carrefour BR,http://www.carrefour.com.br,Retail & Shopping
congstar DE,http://www.congstar.de,"Telco's & Services"
DafitiBR,http://www.dafiti.com.br,Retail & Shopping
Centauro BR,http://www.centauro.com.br,Retail & Shopping
Americanas BR,http://www.americanas.com.br,Retail & Shopping
Lottomatica  IT,https://www.lottomatica.it,"Telco's & Services"
Hoteis.com BR,http://www.hoteis.com,Travel
Bitdefender,http://www.bitdefender.de,"Telco's & Services"
Uber BR,http://www.uber.com,"Telco's & Services"
Fluege DE,http://www.fluege.de,Travel
Sky Ticket DE,http://www.skyticket.de,"Telco's & Services"
Lojas Renner BR,http://www.lojasrenner.com.br,Retail & Shopping
ElitePartner.de,http://www.elitepartner.de,"Telco's & Services"
Submarino BR,http://www.submarino.com.br,Retail & Shopping
Sub Viagens BR,http://www.submarinoviagens.com.br,Travel
Netshoes BR,http://www.netshoes.com.br,Retail & Shopping
C&A BR,http://www.cea.com.br,Retail & Shopping
Sky DE,http://www.sky.de,"Telco's & Services"
Conrad Electronic DE,http://www.conrad.de,Retail & Shopping
Tom Tailor DE - migrated,http://www.tom-tailor.de,Retail & Shopping
QVC DE,http://www.qvc.de,Retail & Shopping
HP BR,http://www.lojahp.com.br,Retail & Shopping
Posthaus BR,http://www.posthaus.com.br,Retail & Shopping
Unitymedia DE - migrated,http://www.unitymedia.de,"Telco's & Services"
H-Hotels.com - migrated,http://www.h-hotels.com,Travel
mobilcom-debitel DE & freenet TV - migrated,http://www.mobilcom-debitel.de,"Telco's & Services"
Trocafone BR,http://www.trocafone.com,Retail & Shopping
momox.de - Einfach verkaufen - migrated,http://www.momox.de,Retail & Shopping
Nike BR,http://www.nike.com.br,Retail & Shopping
Fastshop BR,http://www.fastshop.com.br,Retail & Shopping
Beobank BE,http://www.beobank.be,Finance & Insurance
FarFetch BR,http://www.farfetch.com,Retail & Shopping
Azul BR,http://www.voeazul.com.br,Travel
Marabraz BR,http://www.marabraz.com.br,Retail & Shopping
oBoticario BR,http://www.boticario.com.br,Retail & Shopping
s.Oliver DE,http://www.s.oliver-shop.de,Retail & Shopping
Douglas Parfümerie - migrated,http://www.douglas.de,Retail & Shopping
Shoptime BR,http://www.shoptime.com.br,Retail & Shopping
PARSHIP.ch,http://www.parship.ch,"Telco's & Services"
Immowelt - Immobilienportal DE,http://www.immowelt.de,Finance & Insurance
Medimops DE - migrated,http://www.medimops.de,Retail & Shopping
Mobly BR,http://www.mobly.com.br,Retail & Shopping
Dinda BR,http://www.dinda.com.br,Retail & Shopping
Fut Fanatics BR,http://www.futfanatics.com.br,Retail & Shopping
Aliexpress BR,https://pt.aliexpress.com,Retail & Shopping
Italo Treno IT,http://www.ntvspa.it,Travel
Zattini BR,http://www.zattini.com.br,Retail & Shopping
Loccitane Au Bresil BR,http://br.loccitaneaubresil.com,Retail & Shopping
CheBanca IT,http://www.chebanca.it,Finance & Insurance
Descomplica BR,http://www.descomplica.com.br,"Telco's & Services"
Globus Baumarkt DE - migrated,http://www.globus-baumarkt.de,Retail & Shopping
Gran Cursos Online BR,http://www.grancursosonline.com.br,"Telco's & Services"
Meetic IT,http://www.meetic.it,"Telco's & Services"
MaxMilhas BR,http://www.maxmilhas.com.br,Travel
Electrolux BR,http://loja.electrolux.com.br,Retail & Shopping
Eolo IT,http://www.eolo.it,"Telco's & Services"
Vimcar DE,http://www.vimcar.de,"Telco's & Services"
Infostrada IT,http://www.infostrada.it,"Telco's & Services"
Compra Certa BR,http://loja.compracerta.com.br,Retail & Shopping
PARSHIP.at,http://www.parship.at,"Telco's & Services"
Ubup DE - migrated,http://www.ubup.com,Retail & Shopping
Natura BR,http://rede.natura.net,Retail & Shopping
Droga Raia BR,http://www.drogaraia.com.br,Retail & Shopping
comma-store DE,http://www.comma-store.de,Retail & Shopping
Shop2gether BR,http://www.shop2gether.com.br,Retail & Shopping
Genialloyd PRM IT,http://www.genialloyd.it,Finance & Insurance
Möbel Höffner DE - migrated,http://www.hoeffner.de,Retail & Shopping
Ecadeiras BR,http://www.e-cadeiras.com.br,Retail & Shopping
EWE DE - migrated,http://www.ewe.de,"Telco's & Services"
Sephora BR,http://www.sephora.com.br,Retail & Shopping
ayyildiz DE,http://www.ayyildiz.de,"Telco's & Services"
Printi BR,http://www.printi.com.br,Retail & Shopping
DolceGusto BR,http://www.descafe-dolcegusto.com.br,Retail & Shopping
Catho BR,http://www.catho.com.br,"Telco's & Services"
Simplic BR,http://www.simplic.com.br,Finance & Insurance
Genertel2012 IT,http://www.genertel.it,Finance & Insurance
Livraria Cultura BR,http://www.livrariacultura.com.br,Retail & Shopping
Clickbus BR,http://www.clickbus.com.br,Travel
Locaweb BR,http://www.locaweb.com.br,"Telco's & Services"
Verti IT,https://www.verti.it,Finance & Insurance
Douglas IT,http://www.douglas.it,Retail & Shopping
handyinraten DE - migrated,http://www.handyinraten.de,"Telco's & Services"
Vivara BR,http://www.vivara.com.br,Retail & Shopping
Webcontinental BR,http://www.webcontinental.com.br,Retail & Shopping
Nextel BR,http://www.nextel.com.br,"Telco's & Services"
terracanis DE - migrated,http://www.terracanis.de,Retail & Shopping
Kanui BR,http://www.kanui.com.br,Retail & Shopping
Evino BR,http://www.evino.com.br,Retail & Shopping
Loccitane BR,http://br.loccitane.com,Retail & Shopping
Almundo BR,http://almundo.com.br,Travel
Douglas PL,http://www.douglas-shop.pl,Retail & Shopping
Walmart BR,http://www.walmart.com.br,Retail & Shopping
Pkwteile DE,http://www.pkwteile.de,Retail & Shopping
Expedia.br,http://www.expedia.com.br,Travel
Freeshop,http://www.freeshop.it,Retail & Shopping
Tricae BR,http://www.tricae.com.br,Retail & Shopping
Par Perfeito BR,http://www.parperfeito.com.br,"Telco's & Services"
MyParking PRM IT,http://myparking.it,Travel
Autodoc DE,http://www.autodoc.de,Retail & Shopping
Loungerie BR,http://www.loungerie.com.br,Retail & Shopping
Movida BR,http://www.movida.com.br,Travel
Fastweb IT,http://www.fastweb.it,"Telco's & Services"
Medionshop DE - migrated,http://www.medionshop.de,Retail & Shopping
Compass 2014 IT,http://www.compass.it,Finance & Insurance
Mytheresa.com DE,http://www.mytheresa.com,Retail & Shopping
