id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse
148612,Urbanik Art FR,,,,,Urbanik Art CPA FR,http://urbanikart.fr
148613,Vo Shoes FR,,,,,Vo Shoes FR,http://www.voshoes.com
148615,Origins UK,,,,,Origins UK,http://www.origins.co.uk
148616,ad4mat-smart-markets DE,,,,,ad4mat-smart-markets DE,http://www.smart-markets.de
148617,Mivo RU,,,,,Mivo RU,http://mivoshoes.ru
148618,Schwarzwolf DE,,,,,Schwarzwolf DE,http://www.schwarzwolf-shop.de
148625,Pro Direct Soccer UK,,,,,Pro:Direct Soccer US,http://www.prodirectsoccer.com
148621,Kiwi DE,,,,,Kiwi.com (Skypicker) UK,https://www.kiwi.com
148624,Graham & Brown DE,,,,,Graham & Brown FR,https://www.grahambrown.com
148623,Skypicker FR,,,,,Kiwi.com (Skypicker) FR,https://fr.skypicker.com
148626,HSN Store Program ES,,,,,HSN Store ES,http://www.hsnstore.com
148627,Lerros DE,,,,,Lerros DE,http://www.lerros.com
148628,Miracle-Women CH,,,,,Miracle-Women CH,http://www.miracle-women.ch
148629,Planet Cards NL,,,,,Planet Cards NL,https://www.planet-cards.nl
148630,Quattroruote IT,,,,,ShopED IT,https://www.shoped.it
148631,Quero Bolsa BR,,,,,Quero Bolsa BR,http://querobolsa.com.br
148632,Somhome FR,,,,,Somhome FR,http://somhome.com
148633,Spotcap ES,,,,,Spotcap ES,http://www.spotcap.es
148634,Foot Locker DE,,,,,Foot Locker Deutschland DE,https://www.footlocker.de
148635,Priceless Cities Mastercard DE,,,,,MasterCard: Priceless Bolshoi theatre RU,https://ru.priceless.com
148636,Roastmarket DE,,,,,Roastmarket.de - Crafted Coffee DE,https://roastmarket.de
148637,NutricoDiet DE,,,,,NutricoDiet.de,http://update4soft.latestupdates4free.org
148638,Aard Store UK,"Aardman, Aardstore, Wallace and Gromit, Shaun the Sheep, Timmy Time, Morph, Nick Park",,,,Aard Store US,http://www.aardstore.com
148639,Evisu UK,"fashion, jeans, clothing, apparel, denim, t-shirt",,,,Evisu Group Limited US,http://www.evisu.com
148640,Gruffalo Shop UK,"The Gruffalo, The Gruffalos Child, Room on the Broom, Stick Man, Julia Donaldson, Axel Scheffler",,,,Gruffalo Shop US,http://www.gruffaloshop.com
148641,Leo Gary US,"mens fashion, mens clothing, shirt, t-shirt, hoodie, jacket, blazer, coat, affordable mens clothes, affordable clothing,",,,,Leo Gary US,http://www.leogary.com
148642,Hearst Magazines UK,,,,,Hearst Magazines UK Ltd UK,http://www.hearstmagazines.co.uk
148644,Kopatheme US,,,,,Kopatheme US,http://www.kopatheme.com
148645,Stantt US,,,,,Stantt US,http://www.stantt.com
148646,Big Drop NYC US,,,,,Big Drop NYC US,http://www.bigdropnyc.com
148647,FontBundles US,,,,,FontBundles.net US,http://fontbundles.net
148648,MIKES VERTICAL GRILL US,,,,,MIKES VERTICAL GRILL US,http://mikesverticalgrill.com
148649,Pooch Perks US,,,,,Pooch Perks US,http://poochperks.com
148650,Seatbeanie US,,,,,SeatbeanieLLC US,http://www.seatbeanie.com
148651,Stay Ready Professional US,,,,,Stay Ready Professional US,http://stayreadypro.com
148652,Age of Conan DE,,,,,Age of Conan (SOI) DE,http://www.ageofconan.com
148653,AquaZooMania IT,,,,,AquaZooMania IT,https://aquazoomaniashop.it
148654,Autosvalls UK,,,,,Autos Valls UK,https://www.autosvalls.com
148656,Elizawashere DK,,,,,Eliza was here DK,https://www.elizawashere.dk
148657,Fitness-Seller NL,,,,,Fitness-Seller NL,https://www.fitness-seller.nl
148658,Gaspol PL,,,,,Gaspol PL,http://energiadlafirm.gaspol.pl
