id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse
132785,Berg&Berg Store SE,,,,,Berg&Berg Store,http://www.bergbergstore.com
132784,theyouway SE,,,,,beauty.theyouway,http://beauty.theyouway.com
132787,Canada Pet Care US,,,,,Canadapetcare UK,http://www.canadapetcare.com
132788,Chronoresto FR,,,,,Chronoresto FR,http://www.chronoresto.fr
132789,Closet Clothing UK,,,,,Closet Clothing,http://www.closetclothing.co.uk
132790,Coupaw US,,,,,Coupaw,http://www.coupaw.com
132791,Crescent Electric Supply Company US,,,,,Crescent Electric Supply Company,http://www.cesco.com
132792,Dermatend US,,,,,Dermatend,http://www.dermatend.com
132793,eFax Australia US,,,,,eFax AU,http://www.efax.com.au
132794,GemRoc US,,,,,GemRoc,http://www.gemroc.com
132796,Ikon M UK,,,,,Ikon M,http://www.ikonm.com
132797,Inspired Silver US,,,,,Inspired Silver US,http://www.inspiredsilver.com
132798,Liquid Web Preferred US,,,,06.07.2017 Netzwerk-Wechsel weg von CJ,Liquid Web WW ,https://www.liquidweb.com
132799,Louer en saisonnier FR,,,,,Louer en saisonnier,http://www.louer-en-saisonnier.com
132800,Mehair US,,,,,Mehair,http://www.mehair.com
132802,Poetic Justice Jeans US,,,,,Poetic Justice Jeans,http://www.poeticjusticejeans.com
132803,Quirky US,,,,,Quirky,http://www.quirky.com
132804,Radaris US,,,,,Radaris,http://www.radaris.com
132805,SellerActive US,,,,,SellerActive,http://www.selleractive.com
132806,ShopSixTwenty US,,,,,ShopSixTwenty,http://www.shopsixtwenty.com
132807,Slever CZ,,,,,Slever.cz,http://www.slever.cz
132808,Snapbacks CZ,,,,,Snapbacks.cz,http://www.snapbacks.cz
132809,Spa Cover Pro US,,,,,Spa Cover Pro,http://www.spacoverpro.com
132810,Super Supplements US,,,,,Super Supplements,http://www.supersup.com
132811,SuzanneSomers US,,,,06.07.2017 Netzwerk-Wechsel weg von CJ,SuzanneSomers,http://www.suzannesomers.com
132812,Ticket Office Sales US,,,,,Ticket Office Sales,http://ticketofficesales.com
132813,Casafina UK,,,,,VCM_Casafina UK,http://www.casafinasalisbury.co.uk
132814,Foosle UK,,,,,VCM_Foosle UK,http://www.foosle.com
132815,MyCurrencyTransfer UK,,,,,VCM_MyCurrencyTransfer UK,http://www.mycurrencytransfer.com
132816,Nuffield UK,,,,,Nuffield,http://www.nuffield.co.uk
132817,Pagemodo US,,,,,Webs,http://www.webs.com
132818,White Cloud Electronic Cigarettes US,,,,,White Cloud Electronic Cigarettes,http://www.whitecloudelectroniccigarettes.com
132819,Aller Media NO,,,,,KK NO,http://www.allershopping.no
132820,Bygg- & Bobutiken SE,,,,,Bygg- & Bobutiken  [closing 27/06/15] SE,http://byggochbobutiken.com
136317,Miscota PL,,,,,"Miscota Poland, Czech Republic, Greece and Hungary - Online Shop for Pet Supplie UK",http://www.miscota.com
132825,Fischers-Lagerhaus DE,,"Bei fischers Lagerhaus finden Sie neben Mobeln und Wohnaccessoires auch Kleidung und Schmuck, Wellness- und Korperpflegeprodukte aus Indien, China, Indonesien, Marokko, Nepal, Thailand und Vietnam.",,,Fischers-lagerhaus.de - Waren und Wohnkultur DE,http://fischers-lagerhaus.de
132826,Gartenfachmarkt24 DE,,"Online-Fachmarkt fur Garten, Haus und Freizeit mit einem einzigartigen Sortiment fur den Garten. Vom Gewachshaus, uber den Sonnenschirm, Grills oder auch Gartenmobel bis hin zu gro?en Pools und professioneller Campingausstattung, Heizstrahler. Der Gartenfachmarkt24 hat zudem einen Sitzauflagenkonfigurator zur Erstellung 100 % individueller Polster-Sitzauflagen.",,,Gartenfachmarkt24 DE,https://www.gartenfachmarkt24.de
132827,meinbrillenglas DE,,"Neue Brillenglaser fur Ihre Brille schnell, einfach und gunstig. Sie wahlen Ihre Wunsch-Brillenglaser, senden Ihre Brillenfassung in die Werkstatt und Ihre neu verglaste Brille wird zu Ihnen nach Hause geliefert.",,,meinbrillenglas DE,http://www.meinbrillenglas.de
132828,Reines Wasser fur Jedermann DE,,Reines Wasser fur Jedermann. Mit der Q-Wasseranlage bekommen Sie eine Gesamtlosung fur Ihr wichtigstes Lebensmittel: von der Reinigung uber die Optimierung des pH-Wertes und der Starkung seiner antioxidativen Kraft bis hin zur Verwirbelung und Vitalisierung.,,,Reines Wasser fA?r Jedermann DE,http://www.q-wasser.de
132829,Actimo FR,,,,,Actimo - Outillage &eacute;lectrique Peugeot et Fartools FR,http://www.actimo.eu
132830,Afew Sneaker Store DE,,"Egal ob Air Max, Asics, Air Jordans, Adidas, New Balance oder KangaROOS, der Afew-Store bietet alles was das Sneaker-Herz begehrt. Neben den Sneakers findet Ihr auch Caps, Shirts, Jacken, Hoodies und Taschen fur Sie, Ihn und auch Kids.",,,afew-store DE,https://www.afew-store.com
132831,Animaligne FR,,,,,Animaligne - Boutique en ligne pour animau FR,http://www.animaligne.com
132832,Bodybrands4you DE,,"Bodybrands4you ist dein Online Shop fur Fitness, Wellness und Sportnahrung. Ganz gleich, ob du deine Leistungsfahigkeit steigern, deine Gesundheit starken oder deine Traumfigur erreichen mochtest: Im Online-Shop von Bodybrands4you findest du die richtigen Nahrstoffe und wertvolle Zusatzinformationen.",,,Bodybrands4you.de - Der Fitness Online Shop DE,http://bodybrands4you.de
132833,C like ZEBRA DE,,"C like ZEBRA steht fur handgemachte Prints, die gute Laune machen, und angenehm tragbare Stoffe, die Dir ein tagliches Wohlgefuhl vermitteln. Das Ziel ist es, Dich Tag fur Tag glucklich zu machen, denn Mode soll Leidenschaft sein, Mode soll die eigene Personlichkeit unterstreichen und Mode soll ausdrucken, wie wir leben mochten.",,,C like ZEBRA - Fashion-Onlineshop DE,http://www.clikezebra.com
132834,Carethy UK,,,,,Carethy.co.uk - Online Pharmacy UK,https://www.carethy.co.uk
132835,Carethy DE,,"Carethy ist eine Online-Apotheke und Drogerie. Finden Sie hier Apotheken-Produkte, Diatprodukte, Schonheitsprodukte, Schwangerschaftsprodukte, Hygiene- und Gesundheitsartikel und alles fur Ihr Kind.",,,Carethy.de - Online Apotheke und Drogerie DE,https://www.carethy.de
132836,Carethy ES,,,,,Carethy ES es,https://www.carethy.es
132837,Carethy FR,,,,,Carethy.fr - Produits pharmacie online FR,https://www.carethy.fr
132838,Carethy IT,,,,,Carethy.it - Farmacia e parafarmacia online IT,http://www.carethy.it
132839,Carmes-shop DE,,"Der Carmes-Shop bietet seinen Usern ein umfangreiches Sortiment an Elektro, Elektronik, PC & Multimedia, CAR-HiFi, Mobilfunk, Sicherheitstechnik und das passende Zubehor an.",,,"Carmes-shop.de - PC, Multimedia, Elektronik und HiFi DE",http://www.carmes-shop.de
132840,Check Jugendreisen DE,,"Check-Jugendreisen � Dein neues Portal fur Jugendreisen. Hier erhalt man einen unabhangigen Vergleich zwischen zahlreichen Jugendreisen von vielen verschiedenen Jugendreiseveranstaltern. Finde hier die passende Jugendreise mit und ohne Betreuung, Abschlu?fahrten, Partyreisen und vieles mehr.",,,Check Jugendreisen - 1. Vergleichsportal f&uuml;r Jugendreisen DE,http://www.check-jugendreisen.de
132841,Android App Store / google.com DE,,,,,Das &Ouml;rtliche Telefonbuch Android App DE,https://play.google.com
132842,e-marilyn FR,,,,,e-marilyn.fr - Boutique en ligne de collants et chaussettes FR,http://www.e-marilyn.fr
132843,einfach-online DE,,"einfach-online.de ist Ihr preiswerter Online-Fachhandler fur Geschirr, Porzellan und Design-Accessoires rund um den gedeckten Tisch von Ritzenhoff & Breker.",,,"einfach-online.de - Geschirr, Haushaltsbedarf, K&uuml;chenhelfer und Wohnaccesso DE",http://www.einfach-online.de
132844,Falk Outdoor Shop DE,,"Der Falk Outdoor Shop bietet hochwertige Outdoor-Navigationsgerate fur Freizeitsportler an. So finden Mountainbiker, Rennradfahrer, Bergwanderer, Spazierganger, Freizeitradler und Geocacher das passende Navigationsgerat.",,,Falk Outdoor Shop DE,http://shop.falk-outdoor.com
132845,spielplatzplus DE,,,,,FIFA 2012 - Android mobile Game DE,http://wap.spielplatzplus.de
132846,Geschenkidee AT,,"Geschenkidee.at - Fur jeden das Passende. Ideen fur Geburtstag, Weihnachten, Valentinstag, Muttertag oder einfach nur so. Die hier angebotenen Geschenkideen reichen von einem Mitbringsel fur die Schwiegermutter oder die Gro?eltern uber etwas romantisches fur die Freundin bis hin zu praktischen Geschenkideen fur Ihre Mutter.",,,Geschenkidee.at - Ihr Shop f&uuml;r ausgefallene Geschenkideen DE,http://www.geschenkidee.at
132847,Giordano Weine AT,,"Bei giordanoweine.at finden Sie die besten italienischen Rotweine, Wei?weine und Roseweine aus vielen unterschiedlichen Anbauregionen. Neben den Weinen wird auch Sekt, Grappa und Likore angeboten.",,,Giordano Weine &Ouml;sterreich - Wein Geschenkpakete DE,http://www.giordanoweine.at
132848,Giordano Wijnen NL,,,,,Giordano Wijnen - Verkoop wijn online NL,http://www.giordanowijnen.nl
132849,Fachverlag-computerwissen DE,,,,,Ihr PC-Pannenhelfer PCB DE,http://pcb.fachverlag-computerwissen.de
132854,Locompramos ES,,,,,LOCOMPRAMOS.ES - Vender m&oacute;vil usado ahora ES,http://www.locompramos.es
132851,Italian ArtCafe DE,,"Bei Italian ArtCafe bekommen sie hochwertige Espressomaschinen und den besten italienische Kaffee. Die professionelle Maschine ist einfach zu bedienen und da sie keine Ruckstande hinterlasst, ist somit pflegeleicht. Dank der verschiedenen Kapseln, konnen Sie einfach und intuitiv zwischen Espresso, verlangerten Kaffee oder gro?em Kaffee wahlen.",,,Italian Art CafA?,http://www.italianartcafe.de
132852,IYOUWE Travel DE,,"Hier findest du alles was mit Jugendreisen zu tun hat. Eine sehr gro?e Auswahl an gunstigen Jugendreisen, Abireisen, Schulfahrten, KiTee-Ferienlager und Sprachreisen.",,,IYOUWE Travel - betreute Jugendreisen DE,http://www.iyouwe-travel.de
132853,KKH-kann-mehr Krankenkassenvergleich DE,,Bei KKH-kann-mehr.de konnen Sie die Leistungen ihrer Krankenkasse mit den Leistungen der KKH Kaufmannischen Krankenkasse vergleichen.,,,KKH-kann-mehr Krankenkassenvergleich DE,https://www.kkh-kann-mehr.de
132855,PROMO International Ou / dotpromo.de DE,,,,,Mercedes Benz-Gewinnspiel Telekom DE,http://www.dotpromo.de
132856,MIRO Cosmetics DE,,"Im Online-Shop von Miro-Kosmetics bekommen sie exklusive Parfums und Kosmetik fur Gesicht, Korper, Hande und Fu?e fur Damen und Herren.",,,miro-cosmetics DE,http://www.miro-cosmetics.de
132858,mybook DE,,MyBook findet dein nachstes Lieblingsbuch fur dich. Kurzen Fragebogen ausfullen und  du erhaltst perfekt auf deine Wunsche zugeschnitten individuelle Buchempfehlungen von einem der Buchexperten.,,,mybook.de - Pers&ouml;nliche Buchempfehlung von Buchexperten DE,http://www.mybook.de
132859,NEW Energie - Strom & Gas DE,,"NEW ist Ihr verlasslicher Lieferant fur Strom, Erdgas, Wasser und Glasfaser. Berechnen sie im Tarifrechner die Kosten und vergleichen sie mit den jetzigen.",,,Strom & Gas der NEW Energie DE,https://www.new-energie.de
132861,PallyHi DE,,"PallyHi bietet eine gro?e Auswahl an cool sitzenden Teilen aus hochwertiger Merinowolle mit urbanem Look fur Manner und Frauen. Pally?Hi schafft muhelos den Spagat zwischen Funktionalitat und Streetwearlook. Das Ergebnis sind hochfunktionelle Bekleidungsteile, aber eben nicht nur fur den Einsatz beim Sport.",,,PallyHi - Hochwertige Merinowolle DE,http://www.pallyhi.com
132862,PaperC DE,,"PaperC ist die Wissensplattform im Internet, auf der Nutzer alle Informationen zu ihrem Fachthemen finden konnen. Basis sind weit uber 120.000 Lehr- und Fachbucher verschiedenster wissenschaftlicher Disziplinen, die kostenlos zur Probe gelesen werden konnen.",,,paperc.com - Fachb&uuml;cher im Internet DE,https://paperc.com
132863,Photo and More DE,,"Photo and more - Ihr Onlineshop fur digitale Fotografie. Hier erhalten Sie alles von der Digitalkamera, uber Systemkameras und professionellen Spiegelreflexkamera bis hin zu Video & DVD, TV & Beamer, Computer, Hifi und Haushaltselektronik.",,,Photo and More - Digitalkameras &amp; Fotozubeh&ouml;r DE,http://www.photoandmore.de
132864,MagStack.us UK,,,,,Magstack US,http://magstack.us
132865,REBELLE Second Hand Designermode DE,,"REBELLE ist Deine moderne Online Plattform fur hochwertige Luxusartikel. Du kannst geliebte Markenartikel kaufen und verkaufen. Rebelle bietet Dir ein breites Spektrum an qualitativ hochwertiger Damenmode, geliebten Vintageteilen und ausgewahlten Kollektionsstucken.",,,REBELLE Second Hand Designermode DE,http://www.rebelle.de
132866,Single Finder Android App AT DE,,,,,Single Finder Android App AT DE,http://lp.volevu.mobi
132867,Stilnest DE,,"Bei Stilnest.de findest du 3D-Schmuck von internationalen Designern. Die Angebote sind jeweils auf 100 Stuck limitiert, deren 3D-Muster liegen digital vor und werden vor dem Versand per 3D-Drucker produziert. An Materialien werden Silber und Feinpolyamid-Kunststoff verwendet.",,,Stilnest - innovativer Design-Schmuck DE,http://stilnest.com
132868,Tortenprima DE,,"Tortenprima versendet Torten und Kuchen von Meisterhand gefertigt.
Handgefertigte Konditor-Qualitat. Die Torten und Kuchen werden aus hochwertigen Rohstoffen und ohne Konservierungsstoffe oder Geschmacksverstarker gebacken.",,,Tortenprima  - Torten online verschicken DE,http://www.tortenprima.de
132869,Turbopass DE,,"Mit dem Turbopass erhalten sie zu vielen Attraktionen wie Museen, Sehenswurdigkeiten und Rundfahrten freien Eintritt sowie freie Fahrt mit dem offentlichen Nahverkehr.",,,Turbopass - City Pass f&uuml;r den Urlaub DE,http://www.turbopass.de
132871,Vinoole UK,,,,,Vinoole.com International - Specialists in online sales of Spanish wines UK,http://www.vinoole.com
132872,Wine in Black DE,,"Wine in Black ist Ihr Online-Shop fur Wein und Champagner zu unschlagbar gunstigen Preisen. Egal ob guter Rotwein, leichter Wei?wein oder edler Sekt - bei Wine in Black wird jeder Weinliebhaber fundig.",,,Wine in Black - Premium-Weine unschlagbar g&uuml;nstig DE,http://start.wine-in-black.de
132876,Active Sports Nutrition Supplies UK,"sports supplements,protein supplements,protein shakes,creatine,sports nutrition,whey protein,bodybuilding supplements,creatine,usn,phd,maximuscle,sci-mx,met-rx,boditronics,sd matrix,kinetica,reflex,muscle king,pre workouts",,,,Active Sports Nutrition Supplies US,http://www.activesportsnutrition.co.uk
133491,Acebyte - acebyte.com US,,,,,"Acebyte, Inc - acebyte.com US",http://www.acebyte.com
132873,AboAndMore CH,,"Bei AboAndMore.ch konnen Sie Zeitschriften und Magazine in der Schweiz abonnieren.  Sie finden Hier die besten Magazine fur Gro? und Klein zum gunstigen Jahresabo, Halbjahresabo oder als Geschenkabo.",,06.07.2017 Wechsel weg von Superclix,aboandmore.ch - Zeitschriften-Abo in der Schweiz CH,http://www.aboandmore.ch
132874,Arkivi-Bildagentur DE,,Arkivi - Bildagentur ist ein Portal fur historische Bilder. Sie finden hier ein umfangreiches Bildarchiv von 1880 - 1945. Arkivi ist Ihr Spezialist fur historisches Bildmaterial. Hierbei wird gro?en Wert auf hochste Qualitat zum Zwecke der professionellen Bildnutzung gelegt.,,,Arkivi-Bildagentur.de,http://www.arkivi-bildagentur.de
132875,Billiger DE,,"Bei billiger.de finden Sie Preisvergleiche, Produktbewertungen und Shopbewertungen. Das Produktspektrum der uber 22.500 Shops reicht von Handys, PCs, Tablets, TV-Geraten und weiterer Unterhaltungselektronik uber Arzneimittel, Haushalts- und Gartenbedarf bis hin zu Mode, Sport-, Spiel- und Freizeitartikeln. Daneben bietet billiger.de einen Preisvergleich fur Strom- und Gastarife sowie Angebote fur Fluge und Reisen an.",,,Billiger.de Today: Gewinnspiel DE,http://gewinnspiel.billiger.de
132877,Afap Formazione IT,"formazione, corsi, lingue, corsi avvocati, corsi commercialiste, sicurezza sul lavoro",,,,Afap Formazione IT,http://www.afap-formazione.net
132878,Aphrodisiaque-Store FR,"Aphrodisiaque, sex, toy, stimulant, god",,,,Aphrodisiaque-Store FR,http://www.aphrodisiaque-store.com
132879,ASPACE UK,"Childrens Furniture, Bedroom Furniture, rugs, Toys, Gifts, Toy Storage, bedding, wall art.",,,,ASPACE UK,http://www.aspace.co.uk
132880,Atlasformen NL,"atlas for men, atlas, schoenen, damesschoennen, damesmode, dames, heren, dameskleding, kleren, fashion, atlas for man, mode, hemden, overhemden, accessoires,  kleding, outdoor voor mannen, natuur, zee, online, shop, sport, korting, Outdoorkleding",,,,Atlas For Men NL,https://www.atlasformen.nl
132881,bbqexperte DE,"bbq,grill grills,ofen,grillen,sommer,fruhling,season,fleisch,steak,feuer,scharf,bbqexperte, bbqexperte.de, experte,experten,shop,laden,webshop,Geschenke","Bei BBQexperte finden Sie eine gro?e Auswahl an Grills und Grillzubehor, alles vom Tischgrill uber den Holzkohlegrill bis hin zum professionellen Grillwagen sowie Gartenkamine, Feuerstellen und Heizstrahler fur kuhle Tage.",,,BBQexperte,http://www.bbqexperte.de
132882,BestFlowers DE,"Blumen, Blume, blumenversand, blumen versenden, blumenversand online, blumen versand, online blumenversand, blumenversand gunstig, blumen senden, blumen online versenden, blumen online versand, gunstiger blumenversand, blumen verschicken, blumen schicken,",Ein Blumenstrau? zu jedem Anlass und fur jede Gelegenheit. Der Blumenversand BestFlowers bietet einen schnelle Versand frischer Blumen mit Frische- und Zufriedenheitsgarantie.,,,BestFlowers DE,http://www.bestflowers.de
132883,bevonboch DE,"Mode, Modeaccessoires, Schmuck, Mobel, Wohnaccessoires","Brigitte von Boch bietet eine personliche Auswahl an exklusiven Angeboten aus den Bereichen Dekoration, Mode und Kosmetik an. Erganzt werden die Angebote durch schone und nutzliche Gestaltungsideen fur das eigene Heim, ein Leserforum und den Service einer Hochzeitsliste.",,,bevonboch.com DE,http://bevonboch.com
132884,Bonusprint UK,"bonusprint, photo books, photo, photo products",,,,Bonusprint UK,https://www.bonusprint.co.uk
132885,Buy Mobile Phone Insurance UK,"Buy, mobile, phone, insurance, buymobilephoneinsurance, samsung, galaxy, iphone, iphone 5",,,,Buy Mobile Phone Insurance UK,http://www.buymobilephoneinsurance.com
132886,Camping Village Center DE,"Camping Village Center, Camping, Campingplatze, Zelten, Wohnwagen, reise, Urlaub, Mobilhomes","Machen Sie Urlaub auf einem traumhaften Campingplatz In Frankreich, Italien oder Spanien. Village Center bietet in samtlichen Campinganlagen ein breites Sport- und Freizeitangebot fur Erwachsene, Kinder und Jugendliche.",,,Camping Village Center DE,http://campings.village-center.de
132887,Camping Village Center NL,"Camping Village Center NL, Camping,  campingplaatsen voor tenten, caravans en campers, ingerichte bungalowtenten, stacaravans, chalets",,,,Camping Village Center NL,http://campings.village-center.nl
