name,category,link
(CW) Coverwallet,Werbespots,http://www.coverwallet.com
(eUK) eUKhost Ltd,Webhosting/Server,http://www.eukhost.com
(IS) Interserver Webhosting and VPS,Webhosting/Server,https://www.interserver.net
(PSL) Prime Slots,Wetten/Glücksspiele,https://www.simbagames.com
(WHUK) WebHosting UK COM Ltd.,Webhosting/Server,http://www.webhosting.uk.com
1&1 IONOS Inc.,Webhosting/Server,http://www.ionos.com
1-800 AUTO YES,Autos & LKWs,http://www.1800freshstart.com
1-800 Postcards,Marketing,http://www.1800postcards.com
1-800-DENTIST,Gesundheit und Wellness,http://www.1800dentist.com
1-800-FLORALS,Blumen,http://www.800florals.com
1-800-GET-LENS,Sehhilfen,http://www.1800getlens.com
1-800-GOT-JUNK?,Wiederverwertung,http://www.1800gotjunk.com
1-800-inkfarm.com,Peripheriegeräte,http://www.1-800-inkfarm.com
123 Reg,Domänenregistrierungen,http://www.123-reg.co.uk
123Ink.ca,Peripheriegeräte,http://www.123ink.ca
123Inkjets.com,Peripheriegeräte,http://www.123inkjets.com
1800lighting.com,Möbel,http://www.1800lighting.com
1800Mattress,Möbel,https://www.1800mattress.com
1Password - Password Manager,Productivitätstools,https://1password.com
23andMe,Entertainment,https://www.23andme.com
24 Hour Fitness,Training & Gesundheit,http://www.24hourfitness.com
24-7PressRelease,Marketing,http://www.24-7pressrelease.com
2Wheel,Motorräder,http://www.2wheel.com
2xist,Herren,https://www.2xist.com
360training,Profis,http://www.360training.com
39dollarglasses.com,Sehhilfen,http://www.39dollarglasses.com
3dcart,Webhosting/Server,http://www.3dcart.com
4 Wheel Drive Hardware,Teile & Accessories,http://www.4wd.com
4 Wheel Parts,Teile & Accessories,http://www.4wheelparts.com
4camping.cz,Camping und Wandern,https://www.4camping.cz
4inkjets,Peripheriegeräte,http://www.4inkjets.com
51015KIDS.eu,Kinder,http://www.51015kids.eu
55Mulberry,Damen,http://www.55mulberry.com
6pm,Schuhe,http://www.6pm.com
99designs,Webdesign,https://99designs.com
"A'GACI Affiliate Program",Damen,https://www.agacistore.com
a-mania.CZ,Shopping-Malls,http://www.a-mania.cz
a-mania.SK,Shopping-Malls,http://www.a-mania.sk
A.T. Cross,Geschenke,http://www.cross.com
A1Supplements.com,Nahrungsergänzungsmittel,http://www.a1supplements.com
Aaptiv,Training & Gesundheit,https://aaptiv.com
Aardvark Travel Insurance,Personenversicherung,http://www.aardvarkcompare.com
ABaby.com,Babys,http://www.ababy.com
"Abacus24-7.com Printer Ink, Cables & Accessories",Unterhaltungselektronik,http://www.abacus24-7.com
ABBYY Europe Affiliate Program,Computer-SW,http://www.abbyy.de
ABBYY USA,Computer-SW,https://www.abbyy.com
ABCmouse.com/ReadingIQ.com,Kinder,http://www.abcmouse.com
"Abe's of Maine Affiliate Program",Unterhaltungselektronik,https://www.abesofmaine.com
"AbeBooks.co.uk - New, Second-hand, Rare Books & Textbooks",Bücher,http://www.abebooks.co.uk
Abritel FR,Urlaub,http://www.abritel.fr
Absorb Health,Nahrungsergänzungsmittel,http://www.absorbyourhealth.com
Abt Electronics,Haushaltsgeräte,http://www.abt.com
AC Lens,Sehhilfen,https://www.aclens.com
Academic Superstore,Computer-SW,http://www.academicsuperstore.com
Academy Sports + Outdoor Affiliate,Bekleidung,http://www.academy.com
ACBC,Schuhe,https://www.acbc.com
AccessoryGeeks.com,Unterhaltungselektronik,http://www.accessorygeeks.com
Accorhotels.com Asia Pacific,Hotel,http://www.accorhotels.com
ACD Systems - DE,Foto,https://www.acdsee.com
ACDSee,Foto,http://www.acdsystems.com
Ace Cash Express,Privatkredite,http://www.acecashexpress.com
Aceable.com,Profis,http://www.aceable.com
Acer Canada Online Store,Computer-HW,https://caen-store.acer.com
Acer Online Store,Unterhaltungselektronik,https://us-store.acer.com
Acne Studios,Kleidung/Bekleidung,http://www.acnestudios.com
Acronis International GmbH,Computer-SW,https://www.acronis.com
ActionZážitky.sk,Events,http://www.actionzazitky.sk
ActivTrak,Business-to-Business,http://www.activtrak.com
Adagio Teas,Gourmet,http://www.adagio.com
Adam & Eve,Wellness,http://www.adameve.com
AdopteUnMec.com,Partnervermittlung,https://www.adopteunmec.com
AdoramaPix.com,Foto,http://www.adoramapix.com
Adore Me,Kleidung/Bekleidung,http://www.adoreme.com
