Name,Url,Category
121Doc.co.uk,https://www.121doc.com/en/,Health and beauty
20cogs.co.uk,https://www.20cogs.co.uk/,Other
50five.co.uk,https://www.50five.co.uk/,Household appliances
883police.com,https://www.883police.com/,Fashion and jewelry
A4labels.com,https://www.a4labels.com/,Professional services
AA-Sports.co.uk,https://www.aa-sports.co.uk/,Sport and recreation
Adolescentclothing.com,https://www.adolescentclothing.com/,Fashion and jewelry
Aduroled.com,https://www.aduroled.com,Health and beauty
Agoda.com,https://www.agoda.com/,Travel and holidays
Airosportswear.com,https://www.airosportswear.com/,Fashion and jewelry
Alensa.co.uk,https://www.alensa.co.uk/,Health and beauty
Ali Express,https://www.aliexpress.com,Department stores
Altum.cc,https://www.altum.cc,Sport and recreation
Aluahotels.com,https://en.aluahotels.com/,Travel and holidays
Amatag.com,https://amatag.com,Fashion and jewelry
Anantara.com,https://www.anantara.com,Travel and holidays
Anchorandcrew.com,https://www.anchorandcrew.com/,Fashion and jewelry
Anthoshop.com,https://anthoshop.gr,Fashion and jewelry
Any-Lamp,https://www.any-lamp.co.uk/,Other
ApplianceHouse.co.uk,https://www.appliancehouse.co.uk,Household appliances
ArenaHotels.com,https://www.arenahotels.com/,Travel and holidays
Arikinz.com,https://www.arikinz.com,Fashion and jewelry
Ascendclothing.co.uk,https://www.ascendclothing.co.uk,Fashion and jewelry
Atlantishotels.com,https://www.atlantishotels.com/,Travel and holidays
Autosvalls.com,https://www.autosvalls.com,Travel and holidays
Ayrehoteles.com,https://www.ayrehoteles.com/en/,Travel and holidays
Azulinehotels.com,https://www.azulinehotels.com,Travel and holidays
"Babla's Jewellers",https://www.bablas.co.uk/,Fashion and jewelry
BabyMonitorsDirect.co.uk,https://www.BabyMonitorsDirect.co.uk,Baby & Kids
BabySecurity.co.uk,https://www.BabySecurity.co.uk,Baby & Kids
Bagbnb.com,https://bagbnb.com/,Travel and holidays
Banggood.com,https://www.banggood.com/,Department stores
Bax-shop UK,http://www.bax-shop.co.uk,Hobby and leisure time
Bearstrength.co.uk,https://www.bearstrength.co.uk,Fashion and jewelry
Bebedeparis.co.uk,https://www.bebedeparis.co.uk/,Baby & Kids
BeLiveHotels.com,https://www.belivehotels.com,Travel and holidays
Berrylook.com ,https://www.berrylook.com/,Fashion and jewelry
Bhmallorca.com,https://www.bhmallorca.com/,Travel and holidays
Bijouxindiscrets.com/uk,https://shop.bijouxindiscrets.com/uk/,Adult
BirdFood.co.uk,http://www.birdfood.co.uk,Home and garden
Birdfood.ie,http://www.birdfood.ie,Home and garden
Birdforumshop.com,http://www.birdforumshop.com/,Animals
Bivolino.com,http://www.bivolino.com,Fashion and jewelry
Blindsdirectonline.co.uk,https://www.blindsdirectonline.co.uk/,Home and garden
Bluebayresorts.com,https://www.bluebayresorts.com,Travel and holidays
BodyandFit.co.uk,https://www.bodyandfit.co.uk/,Health and beauty
Bookingabus.com UK,https://www.bookingabus.com/en,Travel and holidays
Bookingmonkey.com,http://www.bookingmonkey.com,Travel and holidays
BridgetsBoutique.co.uk,https://bridgetsboutique.co.uk/,Fashion and jewelry
Bungalow.net,http://www.bungalow.net/en/holidayhomes.html,Travel and holidays
Buyincoins.com,http://www.buyincoins.com/,Department stores
