id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse
100009,Beautynet DE,"parfum, parfum, duft, dufte, kosmetik, proben, gratisproben, pflege, make-up, beauty, wellness, geschenke, boutique, nice-price, schonheit, lifestyle, mode, trends, haarprodukte, schmuck, uhren, taschen","Beautynet.de - die Markenparfumerie seit 1999. Dufte, Pflege, Wellness und viele tolle Geschenkideen finden Sie bei beautynet.de. Beautynet.de prasentiert auf einen Klick ein umfangreiches Sortiment an hochwertigen Kosmetikprodukten, Parfums, Haarpflege und Wellness. Unter beautynet.de finden Sie uber 7.000 Kosmetikprodukte von uber 100 Marken.",,,beautynet DE,http://www.beautynet.de
100011,buero-direkt.de,,"Buero Direkt - Preiswerter Burobedarf. Der preiswerte Shop mit gro?en Sortiment rund ums Buro: Burobedarf, Computerzubehor, Schreibwaren, Toner und vieles mehr.",,,www.buero-direkt.de,http://www.buero-direkt.de
100035,STRATO AG,,"Strato bietet Hosting-Komplettpakete, Server und Business Shops fur Einsteiger bis Profis sowie spezifische Losungen fur kleine und mittelstandische Unternehmen an.","Es werden nur Neukunden vergutet, die nicht innerhalb der letzten 6 Monate Kunden der STRATO AG waren.",,STRATO AG DE,
100031,kartenkaufen.de,,"Bei kartenkaufen.de konnen Sie Tickets, Eintrittskarten und Konzertkarten fur Musicals, Theater, Sport, Events schnell und gunstig online buchen.",,,EINTRITTSKARTEN.de,http://www.kartenkaufen.de
100048,Kabel eins Fanshop,,"In der Einkaufswelt von kabeleins-fanshop.de bekommen Sie Top-DVDs, Bucher, spannende Filme & Serien, trendige Fanartikel und vieles mehr.",,,www.kabeleinsfanshop.de,http://www.kabeleinsfanshop.de
100050,ProSieben,,"Bestes ProSieben Online-Entertainment mit dem aktuellen TV-Programm, Videos und ganzen Folgen der ProSieben Serien.",,,www.prosieben-fanshop.de,http://www.prosieben-fanshop.de
100060,marenga.com,,,,,www.marenga.com,http://www.marenga.com
100075,AVIGO,,"Das Internet-Reiseburo AVIGO ist eine Marke der REWE Touristik. AVIGO bietet ein breites Angebotsportfolio, einen transparenten Vergleich unterschiedlichster Reiseanbieter und eine sichere und komfortable Online-Buchung. 
Im Angebot finden Sie uber 30 Mio. taglich aktualisierten Lastminute-Angebote, Pauschalreisen zu uber 1.500 Zielen, gunstigen Flugen mit uber 500 Airlines, Ferien- und Stadtehotels sowie Mietwagen zu Alles-Inklusiv-Preisen. Daruber hinaus runden einmalige Informationen, Reiseberichte und Insider-Tipps das Angebot ab.",,,www.avigo.de,http://www.avigo.de
100092,TIME-LIFE DE,,"Europaweite TV-Spots, innovative Online-Werbemittel und ein weltweit hoher Bekanntheitsgrad zeichnen Timelife-europe aus. Timelife bietet eine gro?e Auswahl an Musik und DVD?s aus den verschiedensten Sparten an.",,,www.timelife-europe.com,http://www.timelife-europe.com
121599,Grandhotelterduin NL,,,,,Grandhotelterduin NL,http://www.grandhotelterduin.nl
