id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse
132803,Quirky US,,,,,Quirky,http://www.quirky.com
132810,Super Supplements US,,,,,Super Supplements,http://www.supersup.com
132813,Casafina UK,,,,,VCM_Casafina UK,http://www.casafinasalisbury.co.uk
132819,Aller Media NO,,,,,KK NO,http://www.allershopping.no
132827,meinbrillenglas DE,,"Neue Brillenglaser fur Ihre Brille schnell, einfach und gunstig. Sie wahlen Ihre Wunsch-Brillenglaser, senden Ihre Brillenfassung in die Werkstatt und Ihre neu verglaste Brille wird zu Ihnen nach Hause geliefert.",,,meinbrillenglas DE,http://www.meinbrillenglas.de
132831,Animaligne FR,,,,,Animaligne - Boutique en ligne pour animau FR,http://www.animaligne.com
132867,Stilnest DE,,"Bei Stilnest.de findest du 3D-Schmuck von internationalen Designern. Die Angebote sind jeweils auf 100 Stuck limitiert, deren 3D-Muster liegen digital vor und werden vor dem Versand per 3D-Drucker produziert. An Materialien werden Silber und Feinpolyamid-Kunststoff verwendet.",,,Stilnest - innovativer Design-Schmuck DE,http://stilnest.com
132915,shop4de DE,"shop4de, shop4de.com, Geschenk, Gadget, DVD, BluRay, Blu-Ray, Spielzeug, Spiele, PS4, Xbox One, PS3, Xbox 360, Nintendo Wii, Playstation 4, Playstation 3, gunstige Spiele, Playstation Vita, Konsolenspiele, import","Der Online-Shop bietet eine breite Palette an Produkten  wie Computer-und Videospiele, Blu-Rays, PC-Software, PC-Hardware, PC-Zubehor, Tablets, Kopfhorer, MP3-Player, Batterien, Kleidung, Plakate, Spielzeug und Gadgets.",,,Shop4 (DE) 4,http://www.shop4de.com
132946,HandyOrten DE,,"Nutzen Sie jetzt die Online-Handyortung und lassen eine beliebige Handynummer orten. Perfekt bei Diebstahl, Verlust oder zur Uberwachung von Personen. Die Ortung erfolgt entweder uber GPS oder GSM.",,,HandyOrten.de,https://www.handyorten.de
132958,PhoneLabor DE,,"iPhone Reparaturen - Smartphone defekt? LCD-Display gebrochen? Das PhoneLabor bietet Ihnen einen professionellen, gunstigen und schnellen Reparaturservice fur ihr Smartphone oder Tablet.",,,PhoneLabor DE,http://phonelabor.com
132978,Bloom and Wild UK,,,,,Bloom and Wild Flower Delivery UK,http://www.bloomandwild.com
133414,GoLite US,,,,,GoLite,http://www.golite.com
132989,Mr Quoter UK,,,,,Mr Quoter UK,http://www.mrquoter.co.uk
132992,QDOS Breakdown UK,,,,,QDOS Breakdown UK,https://www.qdosbreakdown.co.uk
133013,Wholesale Furniture Brokers CA,,,,,Wholesale Furniture Brokers (CA) US,http://www.gowfb.ca
133022,GTCM IT,,,,,GTCM [pausing from 15/04/14] IT,http://preg.gtcm.com
133027,Mysweetiebox FR,,,,,Mysweetiebox FR,http://www.mysweetiebox.com
133030,packlink DE,,Versenden Sie gunstig Pakete mit Deutschlands fuhrenden Paketdienstleistern zu rabattierten Preisen. Mit Packlink finden sie immer den gunstigsten Paketdienstleister national sowie international.,,,PACKLINK DE,http://www.packlink.de
133034,Unisport NL,,,,,Unisportstore NL,http://www.unisportstore.nl
133163,ZEROCIG US,,,,,ZEROCIG US,http://www.zerocig.com
133413,FootFitter US,,,,,FootFitter,http://www.footfitter.com
133166,2good2betrue NL,,,,,2good2betrue NL,http://www.2good2betrue.nl
133180,BestWestern FI,,,,,BestWestern FI,http://www.bestwestern.fi
133181,Beveiliging-domotica NL,,,,,Beveiliging-domotica NL,http://www.beveiliging-domotica.nl
133194,Chlorex FI,,,,,Chlorex FI,http://chlorex.net
133233,Hampaidenvalkaisu FI,,,,,Hampaidenvalkaisu FI,http://www.hampaidenvalkaisu.eu
133360,Fifeshire Marketing US,,,,,Fifeshire Marketing US,http://www.fifeshire.co.nz
133362,Food Before 5 AU,,,,,Food Before 5 AU,http://www.foodbefore5.com.au
133364,Gas Nozzle Holder US,,,,,Gas Nozzle Holder US,http://www.gasnozzleholder.com
133453,spares4appliances UK,,,,,spares4appliances UK,http://www.spares4appliances.co.uk
133471,Infomaniak FR,,,,,Infomaniak : Hebergement de sites internet FR,http://www.infomaniak.fr
133477,Univers du cuir FR,,,,,Univers du cuir FR,http://www.universducuir.com
133509,Diamond Profile LLC - diamondprofilellc.com US,,,,,Diamond Profile LLC - diamondprofilellc.com US,http://diamondprofilellc.com
133511,Dragan AleksiA� - arena-soft.com US,,,,,Dragan AleksiA� - arena-soft.com US,http://www.arena-soft.com
133583,Hallmark Cards AU,,,,,Hallmark Cards AU,http://www.hallmarkcards.com.au
133588,Me and Moo AU,,,,,Me and Moo AU,http://www.meandmoo.com.au
133592,My Pet Warehouse AU,,,,,My Pet Warehouse AU,http://www.mypetwarehouse.com.au
133605,B&M Electronic Cigarettes UK,,,,,B&M Electronic Cigarettes UK,http://www.bandmonline.co.uk
133622,Prolong Shop UK,,,,,Prolong Shop UK,http://www.prolongshop.com
133629,Tide U Over UK,,,,,Tide U Over UK,https://www.tideuover.com
133635,SAP US,,,,,SAP US,http://www.sap.com
133638,123autoparts NL,,,,,123autoparts NL,http://www.123autoparts.nl
133642,Aanbiedingenvantv NL,,,,,Aanbiedingenvantv NL,http://www.aanbiedingenvantv.nl
133643,Abonnement Le Figaro FR,,,,,Abonnement Le Figaro FR,http://boutique.lefigaro.fr
133654,Amsterdam Shoe Co. NL,,,,,Amsterdam Shoe Co. NL,http://www.amsterdamshoeco.com
133656,Aon Direct NL,,,,,Aon Direct NL,http://www.aondirect.nl
133658,Ardennenxl NL,,,,,Ardennen Relais NL,https://www.ardennenxl.com
133659,Arganwinkel NL,,,,,Argan Winkel NL,http://www.arganwinkel.nl
133672,Betaaldemails NL,,,,,Betaaldemails NL,http://www.betaaldemails.nl
133736,Devistresvite FR,,,,,Devis Monte Escalier FR,http://www.devistresvite.fr
133669,Bensontrade NL,,,,,Bensontrade.nl 2,http://bensontrade.nl
133670,Bestebabyshop.eu NL,,,,,Bestebabyshop.eu NL,http://www.bestebabyshop.eu
133687,Brandeal NL,,,,,Brandeal 2,http://www.brandeal.nl
133706,Coccinelle NL,,,,,Coccinelle NL,http://www.coccinelle.nl
133714,Cosmopolit Home BE,,,,,Cosmopolit Home BE(franstalig) BE,https://fr.cosmopolithome.com
133725,De Lage Landen NL,,,,,De Lage Landen - Leaseloket NL,https://www.leaseloket.nl
133728,Deluxebox NL,,,,,Deluxebox NL,http://www.deluxebox.com
133783,Furnlab NL,,,,,Furnlab NL,http://www.designmeubelzaak.nl
133792,GolfTest NL,,,,,GolfTest NL,http://www.golftest.nl
133794,Goparcs DE,,"Finden Sie traumhafte Ferienhauser, Ferienvillen oder Ferienparks zum ausspannen in Frankreich, den Niederlanden und in Florida.",,,Goparcs DE,http://www.goparcs.nl
133800,Hertz NL,,,,,Hertz NL,http://www.hertz.nl
133801,Hetgroenegras NL,,,,,Hetgroenegras NL,http://www.hetgroenegras.nl
133804,Hockeydirect NL,,,,,Hockeydirect NL,http://www.hockeydirect.nl
133809,Hotel Okura Amsterdam NL,,,,,Hotel Okura Amsterdam NL,http://www.okura.nl
133813,Huisdierplein NL,,,,,Huisdierplein NL,http://www.huisdierplein.nl
133815,Idiomas BE,,,,,Idiomas BE,http://www.idiomas.be
133822,JAAP NL,,,,,JAAP.NL NL,https://www.jaap.nl
133870,Makeroom NL,,,,,Makeroom NL,http://www.makeroom.nl
133934,Prixos Belgie BE,,,,,Prixos (BE) 2,http://www.prixos.be
133984,Succubus NL,,,,,Succubus NL,https://www.succubus.nl
133992,Surfrace NL,,,,,Surfrace NL,http://www.surfrace.nl
133999,Telekidstoys NL,,,,,Telekids Toys NL,https://www.telekidstoys.nl
134004,The Body Shop NL,,,,,The Body Shop NL,http://www.thebodyshop.nl
134017,Tuingereedschapvanlil NL,,,,,Tuingereedschapvanlil NL,http://www.tuingereedschapvanlil.nl
134026,Vacances directes NL,,,,,Vacances directes NL,http://www.vacances-directes.nl
134071,Zoeb NL,,,,,Zoeb NL,http://www.zoeb.nl
134078,Akizz FR,,,,,"Akizz, tous vos accessoires high-tech FR",http://www.akizz.com
134104,Chemise web France FR,,,,,Chemise web France FR,http://www.chemiseweb.com
134106,NetAffiliation FR,,,,,Contratacion de afiliados para NetAffiliation ES,http://www.netaffiliation.com
134112,DELAVEINE FR,,,,,DELAVEINE FR,http://www.delaveine.com
134114,Departement Feminin FR,,,,,Departement Feminin fr,http://departementfeminin.com
134125,El Diario de America ES,,,,,El Diario de America ES,http://eldiariodeamerica.com
134132,Eurekakids DE,,"Eurekakids ist eine Ladenkette fur padagogisches Baby- und Kinderspielzeug. Ziel ist es, ihrem Kind bei seiner geistigen, motorischen und emotionalen Entwicklung zu helfen. Neben den Spielsachen finden sie auch Autokindersitze, Hochstuhle, Kinderwagen und vieles andere.",,,Eurekakids DE,http://www.eurekakids.de
134135,Euronics FR,,,,,"Euronics, electromenager sur Internet FR",http://www.euronics.fr
134149,Goeland FR,,,,,Goeland FR,http://www.goeland.fr
134151,Guitarshop FR,,,,,Guitarshop - Specialiste Guitare FR,http://www.guitarshop.fr
134161,iForex ES,,,,,iForex ES,http://www.iforex.es
134239,Quiksilver AT,,"Quiksilver ist der beste Ort um Surf, Snow und Skate Produkte online zu kaufen. Entdecke die komplette Kollektion aus Kleidung, Accessoires, Schuhe und Zubehor fur Frauen, Manner und auch Kinder.",,,Quiksilver AT DE,http://www.quiksilver-europe.at
134284,Trade Discount FR,,,,,Trade Discount FR,http://www.tradediscount.com
134345,Moss SE,,,,,Moss Bros SE,http://www.mossbros.se
134349,Petit Comptoir Francais FR,,,,,Petit Comptoir Francais FR,http://www.petit-comptoir-francais.com
134353,Sembo FI,,,,,Sembo FI,http://www.sembo.fi
134369,Zaimo Pozyczka PL,,,,,Zaimo Pozyczka PL,http://www.zaimo.pl
134370,Zaplo PL,,,,,Zaplo PL,https://www.zaplo.pl
134373,artvoll DE,,"Die Produkte von artvoll umfassen zeitlose Klassiker, innovative Neuheiten und moderne Trends. Sie finden schone Dinge fur ein schoneres Leben, die das Herz eines jeden Design-Fans hoher schlagen lassen. Entdecken sie Produkte aus den Bereichen Essen & Kochen, Licht, Technik, Outdoor, Schreibwaren und andere.",,,artvoll.de - online einrichten DE,http://www.artvoll.de
134376,Bear Family Records Store DE,,"Bear Family Records ist weltweit fuhrender Spezialist in CD & Vinyl fur RnR, Rockabilly, Country und Blues mit mehr als 50.000 Artikel.",,,Bear Family Records Store DE,http://www.bear-family.de
134391,Luxury-Park DE,,"Luxury-Park der Spezialist fur antike Mobel aus China, Indien, Tibet und der Mongolei.  Hier finden Sie alles: klassische China-Mobel, indische Mobel, Massivholzmobel im Kolonialstil, Shabby- oder Vintage-Look sowie Kamine aus Marmor, Sandstein und Granit.",,,Luxury-Park a�� asiatische MA�bel und Bauelemente DE,http://luxury-park.de
134397,MrLens DE,,"Bei Mr Lens finden sie hochwertige Kontaktlinsen, Pflegemittel sowie auch Korrekturbrillen und Sonnenbrillen. Angeboten werden unteranderem Tageslinsen, Wochenlinsen, Monatslinsen und Farblinsen von bekannten Herstellern wie Acuvue, Focus, Ray Ban und andere.",,,MrLens DE,http://www.mrlens.de
134403,AmeriGlide US,,,,,AmeriGlide,http://www.ameriglide.com
134404,Amrion US,,,,,Amrion,http://www.amrion.com
