id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
148612,Urbanik Art FR,,,,,Urbanik Art CPA FR,http://urbanikart.fr,Unknown,71,Ukraine - 100.00,,,,,36606023,1853391,
148615,Origins UK,,,,,Origins UK,http://www.origins.co.uk,Business_and_Industry,268189,United Kingdom - 86.39,United States - 2.69,Norway - 1.34,Germany - 1.08,France - 0.94,352467,22200,33226
148617,Mivo RU,,,,,Mivo RU,http://mivoshoes.ru,Unknown,17442,Russian Federation - 75.79,Ukraine - 13.76,Netherlands - 3.32,Latvia - 2.97,Estonia - 2.72,2486541,201782,
148618,Schwarzwolf DE,,,,,Schwarzwolf DE,http://www.schwarzwolf-shop.de,,,,,,,,,,
148613,Vo Shoes FR,,,,,Vo Shoes FR,http://www.voshoes.com,Shopping/Clothing,5007,France - 77.72,540 - 20.15,450 - 2.14,,,5246899,294218,39572
148625,Pro Direct Soccer UK,,,,,Pro:Direct Soccer US,http://www.prodirectsoccer.com,Shopping/Sports,5111560,United Kingdom - 21.21,United States - 9.37,France - 8.30,Poland - 5.19,Italy - 4.33,17068,2773,45
148621,Kiwi DE,,,,,Kiwi.com (Skypicker) UK,https://www.kiwi.com,Travel,13069931,United States - 11.69,Czech Republic - 9.19,United Kingdom - 5.83,Ukraine - 5.55,Germany - 5.13,4204,6128,74
148616,ad4mat-smart-markets DE,,,,,ad4mat-smart-markets DE,http://www.smart-markets.de,Business_and_Industry,3710,Germany - 79.53,China - 20.47,,,,6030566,425198,928569
148623,Skypicker FR,,,,,Kiwi.com (Skypicker) FR,https://fr.skypicker.com
148626,HSN Store Program ES,,,,,HSN Store ES,http://www.hsnstore.com,Shopping/Sports,3591977,Spain - 40.75,Mexico - 12.12,Argentina - 7.09,Colombia - 6.65,Chile - 6.56,40689,1698,119
148627,Lerros DE,,,,,Lerros DE,http://www.lerros.com,Shopping/Clothing,89285,Germany - 73.70,Russian Federation - 5.83,Ukraine - 4.32,Poland - 3.99,Slovakia - 3.62,652997,52719,7312
148628,Miracle-Women CH,,,,,Miracle-Women CH,http://www.miracle-women.ch
148624,Graham & Brown DE,,,,,Graham & Brown FR,https://www.grahambrown.com,Shopping/Home_and_Garden,880490,United Kingdom - 36.97,United States - 22.93,France - 8.20,Germany - 5.43,Australia - 4.07,111519,10446,381
148630,Quattroruote IT,,,,,ShopED IT,https://www.shoped.it,Business_and_Industry,58553,Italy - 93.82,United Kingdom - 1.67,Colombia - 1.16,Czech Republic - 1.06,Thailand - 0.84,838852,25861,93444
148632,Somhome FR,,,,,Somhome FR,http://somhome.com,Business_and_Industry/Real_Estate,31158,France - 94.48,Italy - 1.33,Israel - 1.10,Reunion - 1.08,Mauritius - 1.02,1434101,66416,10551
148629,Planet Cards NL,,,,,Planet Cards NL,https://www.planet-cards.nl,Internet_and_Telecom,3949,Netherlands - 64.19,Germany - 35.81,,,,8258903,341859,259499
148636,Roastmarket DE,,,,,Roastmarket.de - Crafted Coffee DE,https://roastmarket.de,Unknown,702299,Germany - 89.83,Austria - 2.18,Czech Republic - 2.11,Switzerland - 1.70,Greece - 0.60,142235,6978,
148638,Aard Store UK,"Aardman, Aardstore, Wallace and Gromit, Shaun the Sheep, Timmy Time, Morph, Nick Park",,,,Aard Store US,http://www.aardstore.com,Arts_and_Entertainment,20694,United Kingdom - 28.58,United States - 17.48,Brazil - 12.21,Hungary - 10.02,Germany - 6.09,3895954,1082534,253577
148637,NutricoDiet DE,,,,,NutricoDiet.de,http://update4soft.latestupdates4free.org
148631,Quero Bolsa BR,,,,,Quero Bolsa BR,http://querobolsa.com.br,Career_and_Education/Education,20470783,Brazil - 99.21,Mozambique - 0.18,Angola - 0.18,Portugal - 0.16,United States - 0.05,8036,424,137
148640,Gruffalo Shop UK,"The Gruffalo, The Gruffalos Child, Room on the Broom, Stick Man, Julia Donaldson, Axel Scheffler",,,,Gruffalo Shop US,http://www.gruffaloshop.com,Shopping,23249,United Kingdom - 38.46,United States - 21.98,Russian Federation - 15.87,Ireland - 11.45,Australia - 6.65,3085027,335638,205943
148644,Kopatheme US,,,,,Kopatheme US,http://www.kopatheme.com,Internet_and_Telecom,15488,Turkey - 25.27,United States - 17.75,188 - 7.50,Slovakia - 5.99,Spain - 3.97,2670748,196802,101935
148646,Big Drop NYC US,,,,,Big Drop NYC US,http://www.bigdropnyc.com,Shopping/Clothing,3824,United States - 63.53,Chile - 35.71,450 - 0.76,,,8441545,3252238,55108
148639,Evisu UK,"fashion, jeans, clothing, apparel, denim, t-shirt",,,,Evisu Group Limited US,http://www.evisu.com,Arts_and_Entertainment,275640,United States - 31.48,China - 17.47,United Kingdom - 9.43,Germany - 4.42,Russian Federation - 3.98,347311,220012,25696
148647,FontBundles US,,,,,FontBundles.net US,http://fontbundles.net,Internet_and_Telecom/Web_Design,2016331,United States - 37.27,Brazil - 7.64,United Kingdom - 3.99,Germany - 3.38,Indonesia - 3.28,57187,23425,48
148641,Leo Gary US,"mens fashion, mens clothing, shirt, t-shirt, hoodie, jacket, blazer, coat, affordable mens clothes, affordable clothing,",,,,Leo Gary US,http://www.leogary.com,Unknown,291,France - 87.11,Malaysia - 12.89,,,,21864093,1719639,
148648,MIKES VERTICAL GRILL US,,,,,MIKES VERTICAL GRILL US,http://mikesverticalgrill.com
148652,Age of Conan DE,,,,,Age of Conan (SOI) DE,http://www.ageofconan.com,Games/Online,296988,United States - 19.44,Germany - 8.53,Russian Federation - 7.29,France - 6.68,Spain - 6.49,242539,183061,1072
148653,AquaZooMania IT,,,,,AquaZooMania IT,https://aquazoomaniashop.it,Shopping,72093,Italy - 92.03,Switzerland - 3.07,China - 2.79,France - 2.12,,664531,23425,46475
148649,Pooch Perks US,,,,,Pooch Perks US,http://poochperks.com,Unknown,6987,United States - 79.27,United Kingdom - 11.52,Spain - 9.21,,,5675629,1686871,
148651,Stay Ready Professional US,,,,,Stay Ready Professional US,http://stayreadypro.com
