id,name,keywords,description,public_notice,internal_notice,websitename,websiteadresse,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
132785,Berg&Berg Store SE,,,,,Berg&Berg Store,http://www.bergbergstore.com,Business_and_Industry,91631,Sweden - 25.61,Poland - 12.60,United Kingdom - 9.58,Belgium - 7.74,France - 7.37,711155,39449,77155
132784,theyouway SE,,,,,beauty.theyouway,http://beauty.theyouway.com
132788,Chronoresto FR,,,,,Chronoresto FR,http://www.chronoresto.fr,Food_and_Drink,3318,Belgium - 86.45,450 - 13.55,,,,15770791,772134,231533
132791,Crescent Electric Supply Company US,,,,,Crescent Electric Supply Company,http://www.cesco.com,Business_and_Industry/Construction_and_Maintenance,304312,United States - 75.01,India - 5.14,Canada - 3.91,Mexico - 3.35,Czech Republic - 1.00,324924,73918,833
132787,Canada Pet Care US,,,,,Canadapetcare UK,http://www.canadapetcare.com,Pets_and_Animals/Animal_Products_and_Service,98364,United States - 87.67,Canada - 3.94,France - 2.61,Slovakia - 1.78,United Kingdom - 1.37,563570,115195,526
132792,Dermatend US,,,,,Dermatend,http://www.dermatend.com,,,,,,,,,,
132793,eFax Australia US,,,,,eFax AU,http://www.efax.com.au,Internet_and_Telecom,67283,Australia - 93.32,United States - 3.00,New Zealand - 1.97,Estonia - 0.71,India - 0.62,1199882,32992,52097
132789,Closet Clothing UK,,,,,Closet Clothing,http://www.closetclothing.co.uk,Shopping/Clothing,22,,,,,,,,
132796,Ikon M UK,,,,,Ikon M,http://www.ikonm.com
132790,Coupaw US,,,,,Coupaw,http://www.coupaw.com,Law_and_Government/Government,71537,United States - 70.92,New Zealand - 12.32,Germany - 4.89,Canada - 4.28,Sweden - 2.72,934169,187729,9754
132799,Louer en saisonnier FR,,,,,Louer en saisonnier,http://www.louer-en-saisonnier.com,Arts_and_Entertainment,15,450 - 100.00,,,,,37691576,83997,2281503
132794,GemRoc US,,,,,GemRoc,http://www.gemroc.com,Shopping/Jewelry,109,,,,,,,,
132797,Inspired Silver US,,,,,Inspired Silver US,http://www.inspiredsilver.com,Shopping/Jewelry,223304,United States - 64.66,Australia - 13.12,Puerto Rico - 4.28,United Kingdom - 3.64,Canada - 3.61,457348,97911,927
132804,Radaris US,,,,,Radaris,http://www.radaris.com,Internet_and_Telecom,4051471,United States - 76.67,Canada - 2.51,United Kingdom - 2.26,Germany - 2.04,France - 1.17,32320,6783,2502
132798,Liquid Web Preferred US,,,,06.07.2017 Netzwerk-Wechsel weg von CJ,Liquid Web WW ,https://www.liquidweb.com,Internet_and_Telecom/Web_Hosting,3420516,United States - 31.30,India - 6.77,Brazil - 4.15,United Kingdom - 3.82,Viet Nam - 3.52,33836,12616,185
132805,SellerActive US,,,,,SellerActive,http://www.selleractive.com,Sports,115390,United States - 97.46,Canada - 0.58,United Kingdom - 0.58,Russian Federation - 0.37,Belgium - 0.24,674564,135234,12318
132800,Mehair US,,,,,Mehair,http://www.mehair.com,,,,,,,,,,
132807,Slever CZ,,,,,Slever.cz,http://www.slever.cz,Shopping/Coupons,315571,Czech Republic - 98.59,Slovakia - 1.18,Ireland - 0.23,,,260369,2621,407
