Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
OUI.sncf (FR),https://agence-voyage.oui.sncf,"
    Travel",Unknown,1201724,France - 94.79,United States - 0.65,Belgium - 0.47,Germany - 0.39,Spain - 0.33,,,
3Suisses (FR),https://www.3suisses.fr,"
    Fashion, Shopping & Retail",Shopping/Clothing,2063497,France - 92.17,Belgium - 1.88,Guadeloupe - 0.88,Reunion - 0.79,Martinique - 0.74,39131,1419,555
AccorHotels.com (FR),http://www.accorhotels.com,"
    Travel, Business-To-Business",Travel/Accommodation_and_Hotels,26401162,France - 21.45,Germany - 9.50,United Kingdom - 8.95,Brazil - 8.86,United States - 4.39,3882,562,14
OUI.sncf (FR),https://www.oui.sncf,"
    Travel",Travel,39146699,France - 88.10,Switzerland - 1.90,Belgium - 1.69,Germany - 1.19,United Kingdom - 1.02,1803,71,30
AliExpress (FR),https://www.aliexpress.com,"
    Fashion, Computers & Electronics, Shopping & Retail",Shopping/General_Merchandise,1325530855,Russian Federation - 24.55,United States - 5.44,Brazil - 5.14,Spain - 4.42,Ukraine - 4.01,29,10,3
Amoma (FR),http://www.amoma.com,"
    Travel",Travel/Accommodation_and_Hotels,7552516,United States - 14.66,United Kingdom - 8.36,Italy - 8.09,Brazil - 8.08,Germany - 7.23,15862,17728,62
ANIMAUTE (FR),https://www.animaute.fr,"
    Home & Garden",Pets_and_Animals/Pets,469689,France - 98.26,Guadeloupe - 0.60,Belgium - 0.31,United States - 0.30, - 0.14,110053,4097,105
Armani (FR),https://www.armani.com,"
    Fashion",Shopping/Clothing,4013253,United States - 12.52,Italy - 11.63,United Kingdom - 9.73,France - 7.12,Germany - 5.88,25696,37726,378
123pneus.fr (FR),http://www.123pneus.fr,"
    Shopping & Retail, Automotive",Autos_and_Vehicles/Automotive_Industry,1196561,France - 94.31,Belgium - 1.25,Switzerland - 0.66,Canada - 0.40,Congo - 0.36,70104,2592,167
Authentik Canada (FR),https://www.authentikcanada.com,"
    Travel",Travel/Tourism,736044,France - 39.79,Canada - 37.23,United States - 6.02,United Kingdom - 3.23,Belgium - 1.83,164675,12355,1655
AtelierGS.fr (FR),https://www.ateliergs.fr,"
    Fashion",Shopping/Clothing,116909,France - 97.96,Switzerland - 0.73,Morocco - 0.38,Algeria - 0.35,Canada - 0.33,441653,18020,5294
Auto Europe (FR),http://www.autoeurope.fr,"
    Travel",Autos_and_Vehicles/Car_Rentals,568775,France - 78.90,Belgium - 3.49,Monaco - 2.22,Venezuela - 1.38,United States - 1.19,140097,6489,88
AXA Assistance (FR),https://www.assurance-voyage.axa-assistance.fr,"
    Insurance",Unknown,43650,France - 86.23, - 3.99,Morocco - 3.15,United Kingdom - 1.23,Portugal - 1.12,,,
Avis (FR),https://www.avis.fr,"
    Travel",Autos_and_Vehicles/Car_Rentals,1027114,France - 80.49,Congo Republic - 4.91,United States - 1.45,Belgium - 1.33,Thailand - 1.09,92731,3988,56
Bemz (FR),https://bemz.com,"
    Shopping & Retail",Shopping/Home_and_Garden,505381,United States - 23.83,France - 13.62,Germany - 12.33,Sweden - 6.58,Greece - 5.81,170500,146520,648
Autodoc (FR),https://www.auto-doc.fr,"
    Automotive",Shopping,2456290,France - 87.15,Belgium - 3.17, - 1.29,Switzerland - 1.04,Martinique - 0.83,36977,1378,2762
Biotyfull Box (FR),https://www.biotyfullbox.fr,"
    Health & Beauty",Unknown,971627,France - 91.24,Belgium - 3.37,Tunisia - 1.15,Viet Nam - 0.92,Guadeloupe - 0.64,133671,5874,
Belambra (FR),https://www.belambra.fr,"
    Travel",Travel/Accommodation_and_Hotels,1062228,France - 94.35,Belgium - 1.66,Switzerland - 0.83,United Kingdom - 0.62,Germany - 0.41,91003,3502,385
Autobutler FR,https://www.autobutler.fr,"
    ",Internet_and_Telecom,169117,France - 84.98,Morocco - 2.57,Congo - 2.26,Luxembourg - 1.78,Chile - 1.46,588273,26940,28581
Blu.com (FR),https://www.blu.com,"
    Shopping & Retail",Finance/Investing,2578943,United States - 29.50,Japan - 26.05,Germany - 10.36,United Kingdom - 7.57,Italy - 5.50,38043,18124,201
Bleuforet (FR),https://www.bleuforet.fr,"
    Fashion, Shopping & Retail",Shopping,121830,France - 91.65,Belgium - 3.56,Netherlands - 1.45,Canada - 1.21,United Kingdom - 0.81,582188,27015,40820
Budget (FR),https://www.budget.fr,"
    Travel",Autos_and_Vehicles/Car_Rentals,181083,France - 82.77,Belgium - 2.27,Canada - 1.94,United Kingdom - 1.29,United States - 1.18,459470,22244,284
Blanche Porte (FR),https://www.blancheporte.fr,"
    Shopping & Retail",Shopping/Clothing,5422197,France - 97.15,Reunion - 0.79,Martinique - 0.65,Guadeloupe - 0.34,Belgium - 0.18,15081,508,208
AXA Schengen (FR),https://www.axa-schengen.com,"
    Finance, Insurance",Finance/Insurance,212110,United States - 15.81,United Kingdom - 7.46,Singapore - 7.33,France - 6.90,Switzerland - 6.03,334403,231755,731
Chaussures.fr (FR),https://www.chaussures.fr,"
    Fashion, Shopping & Retail",Shopping/Clothing,747185,France - 96.26,Poland - 0.72,Switzerland - 0.55,Romania - 0.31,Belgium - 0.30,109382,4137,1570
Bonprix (FR),https://www.bonprix.fr,"
    Fashion",Shopping/Clothing,6710829,France - 95.23,Martinique - 1.08,Belgium - 0.70,Netherlands - 0.57,Reunion - 0.35,9282,306,125
CPC+CPA Lido de Paris (FR),https://www.lido.fr,"
    Media & Entertainment",Travel,132886,France - 44.37,United States - 7.90,Philippines - 7.55,United Kingdom - 6.22,Russian Federation - 4.88,592882,50263,11885
Culture et formation (FR),http://landing-page.culture-formation.fr,"
    Education & Careers",Unknown,339369,France - 95.18,United States - 2.42, - 1.03,Egypt - 0.86, - 0.52,,,
Carpardoo.fr (FR),https://www.carpardoo.fr,"
    Shopping & Retail, Automotive",Unknown,191760,France - 93.25,Germany - 5.53,Denmark - 0.61,Tunisia - 0.56, - 0.05,430828,17992,
Discountlens.fr (FR),https://www.discountlens.fr,"
    Health & Beauty, Shopping & Retail",Health,15505,France - 79.73,Switzerland - 6.97,United Kingdom - 5.40,Italy - 4.09,Netherlands - 3.81,2536515,147496,56748
Dashlane (FR),https://www.dashlane.com,"
    Shopping & Retail",Computer_and_Electronics,8316413,United States - 35.51,France - 11.68,United Kingdom - 6.44,Germany - 5.63,Brazil - 3.04,15516,7008,728
Du pareil au même (FR),http://www.dpam.com,"
    Fashion",Shopping/Clothing,663947,France - 89.34,Belgium - 2.43,Italy - 1.35,Switzerland - 1.15,United States - 0.94,120683,5488,1723
EasyLounge (FR),https://www.easylounge.com,"
    Home & Garden, Shopping & Retail",Shopping/Consumer_Electronics,377974,France - 88.37,Belgium - 5.32,Switzerland - 2.88,Reunion - 0.71,United States - 0.32,311171,14152,2090
deindesign.fr,https://www.deindesign.fr,"
    Telecoms & Utilities, Shopping & Retail",Unknown,56458,France - 95.12,Switzerland - 2.40,United Kingdom - 1.64,Algeria - 0.62, - 0.23,1085666,47791,
EFC (FR),http://www.efcformation.com,"
    Education & Careers",Career_and_Education/Education,249001,France - 82.68,Morocco - 3.40,Congo Republic - 2.27,Congo - 2.15, - 1.77,425702,18352,12836
