Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
121Doc.co.uk,https://www.121doc.com,Health and beauty,Health,222138,Brazil - 37.00,Germany - 28.77,Poland - 16.02,Portugal - 4.16,Sweden - 3.06,432521,63707,8360
20cogs.co.uk,https://www.20cogs.co.uk,Other,Internet_and_Telecom,854458,United Kingdom - 94.94,Spain - 1.36,United States - 0.63,Lithuania - 0.38,Poland - 0.31,123432,6307,7823
883police.com,https://www.883police.com,Fashion and jewelry,Law_and_Government/Law,48587,United Kingdom - 76.09,Turkey - 5.46,Spain - 3.99,Australia - 3.83,United States - 3.51,1886379,170336,4090
A4labels.com,https://www.a4labels.com,Professional services,Business_and_Industry/Publishing_and_Printing,47687,United Kingdom - 65.10,India - 9.24,Puerto Rico - 3.87,Brazil - 3.60,Latvia - 3.49,1026481,92362,1018
AA-Sports.co.uk,https://www.aa-sports.co.uk,Sport and recreation,Shopping/Clothing,41228,United Kingdom - 65.31,United States - 5.72,Bulgaria - 4.16,Germany - 3.75,Lithuania - 3.66,1496140,168750,14788
50five.co.uk,https://www.50five.co.uk,Household appliances,Business_and_Industry/Marketing_and_Advertising,32818,United Kingdom - 65.77,Netherlands - 19.38,Slovakia - 7.17,Spain - 1.91,United States - 1.56,1477777,141375,17546
Aduroled.com,https://www.aduroled.com,Health and beauty,Unknown,14894,Netherlands - 67.68,United States - 16.84,Jamaica - 5.82, - 5.79,Trinidad and Tobago - 3.86,5915208,320419,
Agoda.com,https://www.agoda.com,Travel and holidays,Travel/Accommodation_and_Hotels,90941022,Thailand - 12.13,Taiwan - 10.26,Malaysia - 8.66,Viet Nam - 7.47,United States - 5.41,719,86,4
Airosportswear.com,https://www.airosportswear.com,Fashion and jewelry,Business_and_Industry,23900,Netherlands - 43.77,France - 14.87,Brazil - 13.44,China - 8.59,United Kingdom - 6.21,1064021,224706,123623
Adolescentclothing.com,https://www.adolescentclothing.com,Fashion and jewelry,Unknown,1950,United Kingdom - 80.01,Germany - 11.05,Denmark - 6.72,Ukraine - 2.22,,8597227,1053160,
Alensa.co.uk,https://www.alensa.co.uk,Health and beauty,Unknown,56151,United Kingdom - 68.42,Greece - 4.87,United States - 4.53,Bulgaria - 3.90,Lithuania - 2.93,911435,71466,
