Name,Category,Url
OUI.sncf (FR),"
    Travel",https://agence-voyage.oui.sncf
OUI.sncf (FR),"
    Travel",https://www.oui.sncf/
123pneus.fr (FR),"
    Shopping & Retail, Automotive",http://www.123pneus.fr
3Suisses (FR),"
    Fashion, Shopping & Retail",https://www.3suisses.fr
AccorHotels.com (FR),"
    Travel, Business-To-Business",http://www.accorhotels.com
Afibel (FR),"
    Shopping & Retail, Fashion",http://www.afibel.fr
AliExpress (FR),"
    Fashion, Computers & Electronics, Shopping & Retail",https://www.aliexpress.com/
Amoma (FR),"
    Travel",http://www.amoma.com
ANIMAUTE (FR),"
    Home & Garden",https://www.animaute.fr
Armani (FR),"
    Fashion",https://www.armani.com
AtelierGS.fr (FR),"
    Fashion",https://www.ateliergs.fr
Authentik Canada (FR),"
    Travel",https://www.authentikcanada.com
Auto Europe (FR),"
    Travel",http://www.autoeurope.fr
Autobutler FR,"
    ",https://www.autobutler.fr
Autodoc (FR),"
    Automotive",https://www.auto-doc.fr
Avis (FR),"
    Travel",https://www.avis.fr
AXA Assistance (FR),"
    Insurance",https://www.assurance-voyage.axa-assistance.fr
AXA Schengen (FR),"
    Finance, Insurance",https://www.axa-schengen.com
B&B Hotels (FR),"
    Travel, Business-To-Business",http://www.hotel-bb.com
Belambra (FR),"
    Travel",https://www.belambra.fr
Bemz (FR),"
    Shopping & Retail",https://bemz.com
Biotyfull Box (FR),"
    Health & Beauty",https://www.biotyfullbox.fr
Blanche Porte (FR),"
    Shopping & Retail",https://www.blancheporte.fr
Bleuforet (FR),"
    Fashion, Shopping & Retail",https://www.bleuforet.fr
Blu.com (FR),"
    Shopping & Retail",https://www.blu.com
Bonprix (FR),"
    Fashion",https://www.bonprix.fr
Budget (FR),"
    Travel",https://www.budget.fr
Calzedonia,"
    Fashion",https://track.adform.net
Carpardoo.fr (FR),"
    Shopping & Retail, Automotive",https://www.carpardoo.fr
Chaussures.fr (FR),"
    Fashion, Shopping & Retail",https://www.chaussures.fr
Comme j'aime (FR),"
    Health & Beauty",https://www.commejaime.fr
CPC+CPA Lido de Paris (FR),"
    Media & Entertainment",https://www.lido.fr
Culture et formation (FR),"
    Education & Careers",http://landing-page.culture-formation.fr
Dashlane (FR),"
    Shopping & Retail",https://www.dashlane.com
deindesign.fr,"
    Telecoms & Utilities, Shopping & Retail",https://www.deindesign.fr
Desigual (FR),"
    Fashion",https://www.desigual.com
DFDS (FR),"
    Travel",https://www.dfds.com
Discountlens.fr (FR),"
    Health & Beauty, Shopping & Retail",https://www.discountlens.fr
Disneyland Paris FR,"
    Travel, Media & Entertainment",https://tracking.metalyzer.com
Du pareil au même (FR),"
    Fashion",http://www.dpam.com
Easyjet Holidays (FR),"
    Travel",http://www.easyjet.com
EasyLounge (FR),"
    Home & Garden, Shopping & Retail",https://www.easylounge.com
Ector Parking (FR),"
    Shopping & Retail",https://www.ectorparking.com
EFC (FR),"
    Education & Careers",http://www.efcformation.com
Eglobalcentral (FR),"
    Computers & Electronics, Shopping & Retail",https://www.eglobalcentral.fr
Ekwateur (FR),"
    Home & Garden",https://souscription.ekwateur.fr
Euro Assurance (FR),"
    Insurance",https://www.euro-assurance.com
Evaneos (FR),"
    Travel",https://www.evaneos.fr
FloraQueen (FR),"
    Shopping & Retail",https://www.floraqueen.fr
GearBest (FR),"
    Shopping & Retail",http://www.gearbest.com
Groupon (FR),"
    Shopping & Retail",https://www.groupon.fr
GYMLIB (FR),"
    Health & Beauty, Sports & Recreation",http://www.gymlib.com
HappyCar (FR),"
    Travel",https://www.happycar.fr
Hilton (FR),"
    Travel",http://www.hiltonhotels.com
HJH Office (FR),"
    Shopping & Retail",https://www.hjh-office.fr
HomeExchange (FR),"
    Travel",https://www.homeexchange.fr
Hotelopia (FR),"
    Travel",http://www.hotelopia.fr
HP Store (FR),"
    Computers & Electronics",https://store.hp.com
Iberostar (FR),"
    Travel",http://marketing.net.iberostar.com
iDeal Of Sweden (FR),"
    Fashion, Shopping & Retail",https://idealofsweden.fr
Ideecadeau (FR),"
    Shopping & Retail",http://www.ideecadeau.fr
InkClub.com (FR),"
    Computers & Electronics, Shopping & Retail",http://www.inkclub.com
Kavehome (FR),"
    Home & Garden",https://kavehome.com
Kelkoo (FR),"
    Computers & Electronics, Shopping & Retail, Travel",https://www.kelkoogroup.com
Kiosque FAE (FR),"
    Media & Entertainment",https://www.kiosque-fae.fr
L'avant Gardiste,"
    Shopping & Retail",https://www.lavantgardiste.com
L'HOMME MODERNE,"
    Shopping & Retail",https://www.lhommemoderne.fr
Laurakent (FR),"
    Shopping & Retail",http://www.laurakent.fr
Le Coq Sportif (FR),"
    Shopping & Retail",https://www.lecoqsportif.com
Lechuza (FR),"
    Home & Garden, Shopping & Retail",http://www.lechuza.fr
Leon's Corner (FR),"
    Home & Garden, Shopping & Retail",https://www.leonscorner.com
Light In The Box (FR),"
    Shopping & Retail",http://www.lightinthebox.com
Locatour (FR),"
    Sports & Recreation, Travel",http://www.locatour.com
LOccitane FR,"
    Health & Beauty",https://fr.loccitane.com
Louis Chevrolet (FR),"
    Shopping & Retail",https://louischevrolet.com
Louvre Hotels – Kyriad Campanile Première classe (FR),"
    Travel",https://www.louvrehotels.com
Lufthansa (FR),"
    Travel",https://www.lufthansa.com
M6 Boutique (FR),"
    Health & Beauty, Shopping & Retail, Home & Garden",https://www.m6boutique.com
M6 Croq Kilos (FR),"
    Health & Beauty",https://www.croq-kilos.com
Madura (FR),"
    Home & Garden",https://www.madura.fr
Mango (FR),"
    Shopping & Retail",http://shop.mango.com
Marks and Spencer (FR),"
    Health & Beauty, Food & Drink, Shopping & Retail",http://www.marksandspencer.com
Maxiscoot (FR),"
    Automotive",https://www.maxiscoot.com
Melvita (FR),"
    Health & Beauty",https://fr.melvita.com
Microsoft Public Affiliate Program (FR),"
    Computers & Electronics, Gaming, Media & Entertainment",https://www.microsoft.com
Mini in the box (FR),"
    Shopping & Retail",http://www.miniinthebox.com
Mister babyfoot (FR),"
    Shopping & Retail",http://www.misterbabyfoot.com
Musement (FR),"
    Travel",http://www.musement.com
MyDermaCenter (FR),"
    Health & Beauty",https://www.my-dermacenter.com
Myphotobook (FR),"
    Shopping & Retail",http://www.myphotobook.fr
Nature & Decouvertes (FR),"
    Home & Garden",https://www.natureetdecouvertes.com
Newchic (FR),"
    Fashion, Shopping & Retail",https://www.newchic.com
Optical Center (FR),"
    Health & Beauty, Shopping & Retail",http://www.optical-center.eu
Ouigo (FR),"
    Travel",https://ventes.ouigo.com
Palladium (FR),"
    Fashion",https://palladiumboots.fr
Parions Sport (FR),"
    Gaming",https://www.enligne.parionssport.fdj.fr
Park Inn (FR),"
    Travel",http://www.parkinn.fr
Peter Hahn (FR),"
    Fashion, Shopping & Retail",http://www.peterhahn.fr
Philips (FR),"
    Shopping & Retail, Computers & Electronics, Media & Entertainment",https://www.philips.fr
Planet Sushi (FR),"
    Food & Drink",https://www.planetsushi.fr
Promod (FR),"
    Fashion, Shopping & Retail",http://www.promod.fr
PUMA (FR),"
    Fashion, Sports & Recreation, Health & Beauty",https://eu.puma.com
Puressentiel (FR),"
    Health & Beauty",https://fr.puressentiel.com
Quidco Shoop (FR),"
    Shopping & Retail",https://www.shoop.fr
QUIKSILVER (FR),"
    Sports & Recreation",http://www.quiksilver.fr
Radisson Blu (FR),"
    Travel",https://www.radissonblu.fr
Raja (FR),"
    Business-To-Business, Shopping & Retail",http://www.raja.fr
Relais Colis (FR),"
    Telecoms & Utilities",https://www.relaiscolis.com
Rentalcars (FR),"
    Automotive",http://www.rentalcars.com
Roompot (FR),"
    Travel",https://www.roompot.fr
ROXY (FR),"
    Fashion",http://www.roxy.fr
Rue de la déco (FR),"
    Shopping & Retail, Home & Garden",http://www.ruedeladeco.com
Rue du TeeShirt (FR),"
    Shopping & Retail",https://www.rueduteeshirt.com
Sarenza.com (FR),"
    Shopping & Retail",http://www.sarenza.com
Securitegooddeal.com (FR),"
    Home & Garden",http://www.securitegooddeal.com
Selectcamp (FR),"
    Travel",https://www.selectcamp.fr
Simply To Ski (FR),"
    Travel, Sports & Recreation",https://www.simplytoski.fr
Sixt mobility online (FR),"
    Travel, Automotive",http://www.sixt.fr
Skyscanner (FR),"
    Travel",https://www.skyscanner.fr
Smartbox (FR),"
    Shopping & Retail",https://www.smartbox.com
SNCF Voyages AutoTrain (FR),"
    Automotive",https://autotrain.oui.sncf
Spartan (FR),"
    Fashion",https://spartanunderwear.com
Staples (FR),"
    Computers & Electronics, Shopping & Retail",http://www.staples.fr
Stokke (FR),"
    Shopping & Retail",https://www.stokke.com
StubHub (FR),"
    Media & Entertainment",https://www.stubhub.fr
Student.com (FR),"
    Travel",https://www.student.com
Supra (FR),"
    Fashion",https://suprafootwear.fr
Swarovski (FR),"
    Fashion, Shopping & Retail",http://www.swarovski.com
Telefleurs (FR),"
    Fashion, Shopping & Retail, Home & Garden",http://www.telefleurs.fr
Thalassa sea & spa (FR),"
    Health & Beauty, Travel",http://www.thalassa.com
Thomas Cook (FR),"
    Travel",https://www.thomascook.fr
TOMS (FR),"
    Shopping & Retail",https://www.toms.fr
Toner Services (FR),"
    Telecoms & Utilities, Computers & Electronics",https://www.toner.fr
Travelski (FR),"
    Travel",http://www.travelski.com
TUI (FR),"
    Travel",http://www.tui.fr
Vacanceselect (FR),"
    Travel",https://www.vacanceselect.com
Vistaprint Star Program (FR),"
    Business-To-Business, Shopping & Retail",http://www.vistaprint.fr
Volotea (FR),"
    Travel",http://www.volotea.com
Vueling (FR),"
    Shopping & Retail",http://www.vueling.com
YOOX FR,"
    Fashion, Shopping & Retail",http://www.yoox.com
Zaful (FR),"
    Shopping & Retail",http://fr.zaful.com
ABRA MEBLE (PL),"
    Home & Garden, Shopping & Retail",http://www.abra-meble.pl
Alior Mikropożyczka,"
    Finance",http://clk.tradedoubler.com
Allegro.pl (PL),"
    Shopping & Retail",http://allegro.pl
Alsen PL (PL),"
    Computers & Electronics, Shopping & Retail",http://www.alsen.pl
AuchanDirect,"
    Shopping & Retail",http://www.auchandirect.pl
Avans.pl (PL),"
    Home & Garden, Gaming, Computers & Electronics",https://www.avans.pl
Avis PL,"
    Automotive",https://www.avis.pl
Balladine (PL),"
    Fashion, Shopping & Retail",http://www.balladine.com
Bancovo kampania,"
    Finance",https://www.bancovo.pl
Black Red White kampania,"
    Home & Garden, Shopping & Retail",http://www.brw.com.pl
Bogactwo Kaw PL,"
    Food & Drink",https://www.bogactwokaw.pl
bonprix (PL),"
    Fashion, Shopping & Retail, Home & Garden",https://www.bonprix.pl
Camaieu PL,"
    Fashion",http://www.camaieu.pl
Castorama,"
    Shopping & Retail, Home & Garden",https://www.castorama.pl
Center Parcs (PL),"
    Travel",https://www.centerparcs.com
Chocolissimo (PL),"
    Shopping & Retail",http://chocolissimo.pl
Citi Handlowy Karta kredytowa PL,"
    Finance",https://www.online.citibank.pl
Coccodrillo,"
    Fashion",https://pl.coccodrillo.eu
Deichmann,"
    Fashion",http://www.deichmann.com
DHL PL,"
    Shopping & Retail",https://www.dhlparcel.pl
Dhmedia kampania PL,"
    Finance",https://dhmedia.pl
DoradcaFiansow.pl,"
    Finance",https://oferty.doradcafinansow.pl
DOZ.pl,"
    Health & Beauty",https://www.doz.pl
Dyson,"
    Shopping & Retail",https://shop.dyson.pl
e-torty.pl (PL),"
    Food & Drink",http://e-torty.pl
elampy,"
    Home & Garden",https://www.elampy.pl
Electro PL (PL),"
    Computers & Electronics, Shopping & Retail, Home & Garden",https://www.electro.pl
eMAG.pl (PL),"
    Computers & Electronics, Shopping & Retail",https://www.emag.pl
Empik,"
    Shopping & Retail",https://empik.com
empikfoto.pl,"
    Gaming, Shopping & Retail",http://empikfoto.pl
Endo,"
    Fashion",https://www.endo.pl
Eobuwie (PL),"
    Fashion, Shopping & Retail",http://eobuwie.com.pl
ESKK (PL),"
    Education & Careers",https://eskk.pl
Euro-Tax.pl,"
    Finance, Education & Careers",http://www.euro-tax.pl
FitAdept (PL),"
    Health & Beauty",http://fitadept.com
Ford Flota - Wiosenne promocje kampania,"
    Automotive",https://fordflota.pl
FotoForma (PL),"
    Computers & Electronics",https://fotoforma.pl
Gatta.pl,"
    Fashion",https://gatta.pl
gattaactive.pl,"
    Fashion",https://gattaactive.pl
GENERALI,"
    Insurance",https://generali.pl
Groupon,"
    Shopping & Retail",https://www.groupon.pl
Hapi Pożyczki,"
    Finance, Business-To-Business",https://www.hapipozyczki.pl
HappyCar PL,"
    Travel",https://www.happycar.pl
Hilton,"
    Travel",http://www.hiltoneasteurope.com
IKEA - kampania,"
    Home & Garden",https://www.ikea.com
INIS kampania PL,"
    Business-To-Business",http://test.pl
Inter Cars PL,"
    Automotive",https://intercars.pl
Iveco kampania,"
    Automotive",https://promocje.iveco.pl
kakto.pl (PL),"
    Computers & Electronics",https://kakto.pl
Kampania Lidl_podróże(PL),"
    Travel",https://lidl-podroze.pl
Keko,"
    Shopping & Retail",http://www.keko.pl
KPI kampania,"
    Finance",https://kpimedia.pl
Księgarnia Internetowa PWN,"
    Media & Entertainment, Shopping & Retail, Education & Careers",https://ksiegarnia.pwn.pl
KwiatowyOgrod.pl (PL),"
    Shopping & Retail",http://kwiatowyogrod.pl
Lancerto,"
    Fashion",https://lancerto.com
Leroy Merlin kampania,"
    Home & Garden, Shopping & Retail",http://www.leroymerlin.pl
Link4 OC i AC,"
    Insurance",http://link4.pl
Lufthansa PL,"
    Travel",https://www.lufthansa.com
Maxandmrau,"
    Shopping & Retail",https://www.maxandmrau.pl
Media Markt (PL),"
    Computers & Electronics",http://www.mediamarkt.pl
MediaExpert (PL),"
    Media & Entertainment, Shopping & Retail, Home & Garden",https://www.mediaexpert.pl
Merg.pl (PL),"
    Fashion",https://www.merg.pl
MyButik.pl (PL),"
    Fashion",https://mybutik.pl
